poly cost,gaus cost,sigm cost
0.117002,0.0795244,0.0768642
0.116839,0.0794361,0.0767877
0.116677,0.0793482,0.0767115
0.116516,0.0792607,0.0766356
0.116355,0.0791737,0.0765601
0.116195,0.0790871,0.076485
0.116036,0.0790009,0.0764102
0.115877,0.0789151,0.0763358
0.115719,0.0788297,0.0762617
0.115562,0.0787447,0.0761879
0.115405,0.0786601,0.0761145
0.115249,0.0785759,0.0760414
0.115093,0.0784921,0.0759687
0.114938,0.0784086,0.0758963
0.114784,0.0783256,0.0758242
0.114631,0.078243,0.0757524
0.114478,0.0781607,0.075681
0.114325,0.0780788,0.0756099
0.114173,0.0779973,0.0755391
0.114022,0.0779162,0.0754686
0.113872,0.0778355,0.0753985
0.113722,0.0777551,0.0753286
0.113572,0.0776751,0.0752591
0.113424,0.0775954,0.0751899
0.113276,0.0775161,0.075121
0.113128,0.0774372,0.0750524
0.112981,0.0773586,0.0749841
0.112835,0.0772804,0.0749161
0.112689,0.0772025,0.0748484
0.112543,0.077125,0.074781
0.112399,0.0770479,0.0747139
0.112255,0.076971,0.0746471
0.112111,0.0768946,0.0745806
0.111968,0.0768184,0.0745144
0.111826,0.0767426,0.0744484
0.111684,0.0766672,0.0743828
0.111542,0.076592,0.0743174
0.111401,0.0765172,0.0742523
0.111261,0.0764428,0.0741875
0.111121,0.0763686,0.074123
0.110982,0.0762948,0.0740587
0.110844,0.0762213,0.0739948
0.110705,0.0761481,0.0739311
0.110568,0.0760753,0.0738676
0.110431,0.0760027,0.0738045
0.110294,0.0759305,0.0737416
0.110158,0.0758586,0.0736789
0.110022,0.075787,0.0736166
0.109887,0.0757157,0.0735545
0.109753,0.0756447,0.0734926
0.109619,0.075574,0.0734311
0.109485,0.0755036,0.0733697
0.109352,0.0754335,0.0733087
0.10922,0.0753637,0.0732479
0.109087,0.0752942,0.0731873
0.108956,0.075225,0.073127
0.108825,0.0751561,0.0730669
0.108694,0.0750875,0.0730071
0.108564,0.0750192,0.0729476
0.108434,0.0749512,0.0728882
0.108305,0.0748834,0.0728292
0.108177,0.0748159,0.0727703
